Number	Concept	Exclude	Coverage	Cognacy
1	the fox	1	0.53	0.21
2	the nit	1	0.57	0.19
3	the wolf	1	0.57	0.28
4	to marry (a man marries a woman)	1	0.57	0.49
5	to sow (broadcast, scatter seeds)	1	0.62	0.47
6	to knead	1	0.62	0.51
7	the otter	1	0.66	0.15
8	the ice	1	0.77	0.21
9	to flow	1	0.77	0.47
10	the shit	1	0.79	0.17
11	thin (object)	1	0.79	0.43
12	to forget	1	0.79	0.43
13	to float	1	0.79	0.62
14	horizontal	1	0.81	0.43
15	to blow (of wind)	1	0.81	0.68
16	the frost	1	0.83	0.23
17	salty	1	0.83	0.28
18	the hoof	1	0.83	0.32
19	the lake	1	0.83	0.36
20	to run	1	0.83	0.45
21	the earthworm	1	0.83	0.53
22	young	1	0.83	0.6
23	hundred	1	0.85	0.11
24	to smell (perceive odor) [transitive]	1	0.85	0.19
25	below, under	1	0.85	0.43
26	the rainbow	1	0.85	0.43
27	to learn	1	0.85	0.45
28	to know (something)	1	0.85	0.55
29	the mosquito	1	0.85	0.62
30	the armpit	1	0.85	0.62
31	noon	1	0.85	0.64
32	to lie down	1	0.85	0.66
33	the sheep	1	0.87	0.34
34	dark	1	0.87	0.38
35	above	1	0.87	0.53
36	nine		0.89	0.06
37	six		0.89	0.09
38	eight		0.89	0.11
39	the horn (keratinized skin)		0.89	0.11
40	seven		0.89	0.13
41	the breast (female)		0.89	0.23
42	the flea		0.89	0.28
43	the feather		0.89	0.28
44	early		0.89	0.38
45	the belly		0.89	0.38
46	the hail		0.89	0.4
47	to plant (vegetals, rice)	1	0.89	0.4
48	the snow		0.89	0.43
49	the branch		0.89	0.43
50	smooth	1	0.89	0.47
51	the thigh		0.89	0.55
52	narrow		0.89	0.57
53	the blood		0.91	0.09
54	the eye		0.91	0.09
55	the hand		0.91	0.17
56	the bone		0.91	0.23
57	short		0.91	0.23
58	ten		0.91	0.23
59	the dust		0.91	0.3
60	full		0.91	0.34
61	the wing		0.91	0.36
62	the front (front side)		0.91	0.38
63	the fog	1	0.91	0.38
64	middle		0.91	0.4
