Number	Segment	BIPA	Frequency	Example	Languages
1	hni		1	Hakha_Chin	p a hni ʔ
2	ṁ		1	Old_Burmese	t o₂ ṅ ◦ p a ṁ
3	†ɲ̇		1	Xiandao	†ɲ̇ o n ⁵⁵
4	ẹ		1	Tangut	b ẹ ¹
5	²¹⁴₅₅		1	Beijing	tʂ ʅ ²¹⁴₅₅ tɕ i a ⁰
6	ɛ:	ɛː	1	Limbu	p ɛ: r ◦
7	pp	pp	1	Limbu	s a pp o k
8	oi	oi	1	Rabha	m e + x oi
9	yː	yː	1	Lashi	p yː ³³
10	ns	ns	1	Wobzi_Khroskyabs	ns kʰ ɑ́ ɣ
11	îa	îa	1	Hakha_Chin	r îa l
12	dʒʰ	dʒʰ	1	Chepang	dʒʰ j u ŋ
13	ĩ̱	ĩ̠	1	Lisu	m i ³¹ _ h ĩ̱ ∼ ³³
14	ij		1	Tangut	. j ij r
15	ǒ	ǒ	1	Hakha_Chin	hl ǒ n + hl o n ʔ
16	ɾ	ɾ	1	Byangsi	j/dʒ a ɾ i
17	kʷʰˤ	kʷʰˤ	1	Old_Chinese	kʷʰˤ e n ʔ
18	³¹₁₁		1	Jieyang	ŋ i a u ³¹₃₅ tsʰ ɯ ³¹₁₁
19	fɕ		1	Wobzi_Khroskyabs	fɕ î
20	⁶		1	Longgang	s i ³³ f u t ⁶ m u i ³²
21	aà	aà	1	Hakha_Chin	v aà
22	ȶʃ	ȶʃ	1	rGyalrong_Maerkang	t ə _ ȶʃ i
23	ss		1	Rongpo	r ə ss i
24	ə.		1	Tangut	ts ə.
25	ʔʷ	ʔʷ	1	Hayu	kʰ e ʔʷ a
26	jwi		1	Tangut	l jwi
27	l̥ˤ	l̥ˤ	1	Old_Chinese	l̥ˤ i n
28	ɛ̂ː	ɛ̂ː	1	Khaling	p ɛ̂ː p
29	\		1	Byangsi	m j \ ɛ
30	ĭ	ĭ	1	Lashi	k j ĭ ²¹ + n ɔ ʔ ³¹
31	²¹₃₃		1	Xingning	m i ²¹₃₃ p a ⁴⁵
32	jɵ		1	Thulung	th jɵ s
33	o:	oː	1	Bokar	o + ŋ o:
34	³₃₅	³³⁵	1	Guangzhou	ts œ k ³₃₅
35	ı̃		1	Rongpo	ʃ u ı̃
36	phʃ	pʰʃ	1	rGyalrong_Maerkang	t ə _ phʃ ᴇ
37	ɖh	ɖh	1	Rongpo	ɖh aː n o
38	gʲ	gʲ	1	Old_Tibetan	b r gʲ a d
39	uʔ		1	Hakha_Chin	th u p + th uʔ
40	pi		1	Tangut	pi e.
41	kw	kʷ	1	Thulung	kw a l b a
42	⁵⁵)		1	Guangzhou	ts y ⁵⁵ k ʊ ŋ ⁵⁵)
43	i_		1	Jingpho	t s i_ ʔ⁵⁵
44	ʣʰ	dzʰ	1	Khaling	ʣʰ e s
45	ʌ‍		1	Khaling	l uː s ʌ‍ m
46	nn		1	Rongpo	gh u nn ɔ
47	ôː	ôː	1	Khaling	p ôː
48	uɑ̱	uɑ̠	1	Lisu	p o ³³ t ɕ uɑ̱ ³³
49	ɔ̱	ɔ̠	1	Maru	p ɔ̱ ³⁵
50	tsʰʷ	tsʷʰ	1	Old_Tibetan	tsʰʷ a
51	ḭː	ḭː	1	Lashi	k j ḭː n ³¹
52	kʲ	kʲ	1	Old_Tibetan	s kʲ u g
53	l-		1	Rabha	tʰ e l- tʰ e l
54	n-		1	Rabha	a n- tʰ a m
55	ht		1	Hakha_Chin	hng e r ht e
56	aʔ		1	Hakha_Chin	hr aa t + hr aʔ
57	wjɨɨ		1	Tangut	k wjɨɨ r
58	ɬʰ	ɬʰ	1	Daofu	f ɬʰ ə
59	ᴜ̃		1	Zhaba_Daofu_County	m a ³³ ◦ ʂ ts ᴜ̃ ∼ ⁵⁵ ◦ m a ³³
60	i/r	r	1	Beijing	l u ⁵¹ ʂ u i/r ²¹⁴
61	á-		1	Rabha	h á- d u ŋ l a + d a
62	hŋ		1	Hakha_Chin	hŋ ôo ŋ
63	e̱ː	e̠ː	1	Lashi	t ɔː ⁵⁵ m j e̱ː i ⁵³
64	u/r	r	1	Beijing	k u/r n ⁵¹
65	ɴɢ	ɴɢ	1	Japhug	ɴɢ o ɕ n a
66	ə/r	r	1	Beijing	i e ³⁵ m ə/r n ⁰
67	⁵⁴₅₅ˌ		1	Longgang	tʰ a ŋ ⁵⁴₅₅ˌ t a u ³²
68	ju		1	Tangut	ɕ ju
69	i-		1	Rabha	m i- n i
70	jwu.		1	Tangut	s jwu.
71	t̺ʰ	t̺ʰ	1	Byangsi	t̺ʰ aː m o
72	pa		1	Old_Tibetan	g ɕ o g + pa
73	ə̱	ə̠	1	Bola	t ɑ̱̆ ³¹ m ə̱ i ³¹
74	ụ		1	Tangut	l ụ ¹
75	²²₃₅		1	Guangzhou	ts y ⁵³ j ø n ²²₃₅
76	r0		1	Chepang	s j u r0
77	ʉ̂ː	ʉ̂ː	1	Khaling	s ʉ̂ː
78	hdz		1	Tibetan_Xiahe	hdz o _ t o
79	²¹³	²¹³	1	Beijing	tʂʰ o u ²¹³
80	ŋʷ	ŋʷ	1	Old_Chinese	ŋʷ a t
