Dulong	the feather	ɑŋ⁵⁵mɯn⁵⁵	159	19196
Dulong	the head	ɑŋ⁵⁵u⁵⁵	1103	19052
Dulong	the leaf	ɑŋ³¹lɑp⁵⁵	234	19505
Dulong	the mouth	nɯi⁵⁵gɔŋ⁵³	1276	19060
Dulong	the sun	nam³¹luŋ⁵⁵	86	19783
Dulong	the tail	mi⁵⁵tɕɔʔ⁵⁵	84	19183
Beijing	heavy	tʂʊŋ⁵¹	1647	36308
Beijing	the man (male human)	nan³⁵ʐɘn⁰	10273	36841
Beijing	the man (male human)	ie³⁵mɚn⁰	1787	36843
Beijing	to see	tɕʰiɑo³⁵	1966	37404
Beijing	to see	tʂʰou²¹³	1968	37406
Beijing	the snake	tʂʰɑŋ³⁵tʂʰʊŋ⁰	1827	37028
Beijing	the woman	ny²¹⁴₂₁ʐən⁰	1862	37139
Beijing	the woman	niaŋr³⁵mən⁰	1861	37141
Beijing	the year	taŋ⁵⁵nianr⁰	1866	37151
Beijing	morning	tsɑo²¹⁴₂₁tɕʰi⁰	1674	36385
Beijing	the front (front side)	tɕʰiɐn³⁵piɐnr⁰	1760	36715
Beijing	outside	ʋæi⁵¹pianr⁰	1688	36437
Beijing	inside	li²¹⁴₂₁piɐnr⁰	1655	36340
Chaozhou	to drink	tsiaʔ⁵	1899	37250
Chaozhou	to sing	tsʰiaŋ¹³	1971	37420
Chaozhou	the spider	bɛ⁵³₃₅lɛŋ⁵⁵₁₁kʰia⁵⁵	1837	37053
Chaozhou	to throw	sɛk²	1992	37466
Guangzhou	the bird	tsœk³tsɐi³⁵	1713	36551
Guangzhou	cold (of temperature)	laŋ²³	933	36221
Guangzhou	to come	lei²¹	884	37221
Guangzhou	to cry (weep)	hʊk⁵	1888	37229
Guangzhou	the liver	tsy⁵³jøn²²₃₅	1783	36823
Guangzhou	the man (male human)	lou²³₃₅	2890	36845
Guangzhou	near	kɐn²²	1678	36405
Guangzhou	to play	fan³⁵	1945	37368
Guangzhou	the rain	søy³⁵	1813	36939
Guangzhou	to lick	tʰim³⁵	3218	37349
Guangzhou	the sun	jit²tʰɐu²¹₃₅	10277	37073
Guangzhou	to think (reflect)	sœŋ³⁵	1987	37456
Guangzhou	to throw	pʰɛk³³	928	37463
Guangzhou	to throw	wɪŋ³³	1991	37464
Guangzhou	the woman	pʰɔ²¹₃₅na³⁵	3144	37143
Guangzhou	to wipe	tsʰat³³	2003	37484
Guangzhou	morning	sɐn²¹tsou³⁵	1674	36388
Guangzhou	the pig	tsy⁵³lɔŋ²¹₃₅	1812	36932
Guangzhou	inside	løy²³pin²²	1655	36341
Jieyang	to drink	tsiaʔ⁵	1899	37252
Jieyang	to sing	tsʰiaŋ¹³	1971	37422
Jieyang	the spider	bɛ³¹₃₅lɛŋ⁵⁵₁₁ia⁵⁵	1837	37054
Jieyang	outside	ŋua¹¹kʰau³¹	1688	36441
Longgang	to die	kʰiau³⁵tʰai²¹	1893	37242
Longgang	the house	vuk³kʰa³³	1775	36790
Longgang	to smell (perceive odor) [transitive]	mun²¹	1977	37436
Longgang	to forget	m²¹ki⁵⁵tɛt³	1910	37289
Longgang	the shit	li⁵⁵tu²¹	1823	37000
Xingning	to fly (move through air)	fi⁴⁵	10210	37286
Xingning	the house	fɔŋ²⁴ti²¹	1774	36788
Xingning	the rain	ʂui²¹	1813	36944
Zhaba_Daofu_County	the bone	xə⁵⁵|ʐə⁵⁵	194	21209
Zhaba_Daofu_County	to come	vʌ¹³	759	22130
Zhaba_Daofu_County	the dust	di¹³	507	21143
Zhaba_Daofu_County	to fight	dy⁵⁵ dy⁵⁵	2338	21962
Zhaba_Daofu_County	the head	gu³³po⁵⁵lo³³	1426	21162
Zhaba_Daofu_County	the heart	n̥ɛ¹³	539	17140
Zhaba_Daofu_County	to kill	kʌ³³ she⁵⁵	3125	22214
Zhaba_Daofu_County	the knee	pu³³lo⁵⁵	2039	21185
Zhaba_Daofu_County	the liver	sei¹³	2076	21220
Zhaba_Daofu_County	the salt	tshɿ³³	4160	21155
Zhaba_Daofu_County	seven	n̥ɛ⁵⁵	55	21646
Zhaba_Daofu_County	the stick	go⁵⁵pi⁵⁵	2235	21541
Zhaba_Daofu_County	to wipe	a³³tʂə⁵⁵	2328	21915
Zhaba_Daofu_County	the dew	ʂʌ³³ʐe⁵⁵	10257	21123
Zhaba_Daofu_County	morning	sᴜ⁵⁵khə⁵⁵ȵi⁵⁵	2266	21615
Daofu	black	ga ȵa	511	19301
Daofu	good	gɑ ʁjɛ	2852	19358
Daofu	green	sŋur ma	1098	19805
Daofu	to kill	ntɕə	2428	22278
Daofu	the knee	rŋə mo	1193	18632
Daofu	many	gɛ ɣre	1358	19285
Daofu	the mountain	ri rav	121	18582
Daofu	the nail (fingernail or claw)	nɛ ldzə	1194	18639
Daofu	red	gɛ ngi	911	17824
Daofu	sharp	gɛ skhvɛ	1366	19323
Daofu	the shoulder	lva tɕha	13	18624
Daofu	the sky	mɑ mqɑ	499	18562
Daofu	the snake	mtʂhi	70	18804
Daofu	thick	ga ɣɮa	977	19277
Daofu	thin (object)	gɛ bə	3196	30717
Daofu	yellow	gɛ rȵə	2513	19307
Daofu	late	gɛ skhrə	1365	19321
Daofu	the front (front side)	ŋə ste	1305	19089
Daofu	high / tall	gɛ cçhɛ	1351	19263
Daofu	hard	gɛ rgi	341	21529
Daofu	light (of weight)	gɛ ɣje	10542	19316
Lushai	the blood	thi◦sen	29703	35982
Lushai	the pig	sa◦nghal	1538	36045
Lushai	the son	fapa	73	36069
