#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution conditionOnRhoSampling="true" id="FBD.t:tree" spec="beast.evolution.speciation.SABirthDeathModel">
#            <parameter id="originFBD.t:tree" lower="0.0" name="origin" upper="100.0">90.0</parameter>
#            <parameter id="diversificationRateFBD.t:tree" lower="0.0" name="diversificationRate">1.0</parameter>
#            <parameter id="turnoverFBD.t:tree" lower="0.0" name="turnover" upper="1.0">0.5</parameter>
#            <parameter id="samplingProportionFBD.t:tree" lower="0.0" name="samplingProportion" upper="1.0">0.5</parameter>
#            <parameter id="rFBD.t:tree" lower="0.0" name="removalProbability" upper="1.0">0.0</parameter>
#            <parameter estimate="false" id="rhoFBD.t:tree" lower="0.0" name="rho" upper="1.0">1.0</parameter>
#            <tree id="Tree.t:tree">
#                <trait id="dateTrait.t:tree" spec="beast.evolution.tree.TraitSet" traitname="date-backward">
#                BodicTshangla=0,
#BurmishOldBurmese=0.8,
#BurmishRangoon=0,
#ChepangChepang=0,
#ChinHakha=0,
#JingphoJingpho=0,
#Karbi=0,
#KhroskyabsWobzi=0,
#KirantiKhaling=0,
#LoloishLisu=0,
#NungicDulong=0,
#Rabha=0,
#SiniticGuangzhou=0,
#SiniticOldChinese=2.55,
#Tangut=0.9,
#TaniBokar=0,
#TibetanBatang=0,
#TibetanOldTibetan=1.2,
#TibetoKinauriBunan=0                
#                                <taxa id="TaxonSet.small" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.small"/>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:small" name="distribution">
#            <parameter id="bcov_alpha.s:small" lower="1.0E-4" name="x" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:small" name="distribution">
#            <parameter id="bcov_s.s:small" lower="1.0E-4" name="x" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="diversificationRatePriorFBD.t:tree" name="distribution" x="@diversificationRateFBD.t:tree">
#            <Uniform id="Uniform.6" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="originPriorFBD.t:tree" name="distribution" x="@originFBD.t:tree">
#            <Uniform id="Uniform.5" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="samplingProportionPriorFBD.t:tree" name="distribution" x="@samplingProportionFBD.t:tree">
#            <Uniform id="Uniform.8" name="distr"/>
#        </prior>
#        <prior id="turnoverPriorFBD.t:tree" name="distribution" x="@turnoverFBD.t:tree">
#            <Uniform id="Uniform.7" name="distr"/>
#        </prior>
#        <distribution id="OldChinese.prior" spec="beast.math.distributions.MRCAPrior" tipsonly="true" tree="@Tree.t:tree">
#            <taxonset id="OldChinese" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="SiniticOldChinese" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.10" lower="2.3" name="distr" upper="2.8"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.small" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@small" excludeto="1" filter="-" id="orgdata.small" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:small" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:small" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:small" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:small" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:small" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:small">
#                    <parameter dimension="2" id="frequencies.s:small" lower="0.0" name="vfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:small" lower="0.0" name="hfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@small" estimate="false" id="dummyfrequencies.s:small" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.small	TreeHeight.t:tree	mutationRate.s:small	bcov_alpha.s:small	bcov_s.s:small	frequencies.s:small1	frequencies.s:small2	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(OldChinese.prior))	height(SiniticOldChinese)	clockRate.c:clock
0	-26175.42215618319	-25772.07746508153	-403.3446911016624	-25772.07746508153	5.357046770534826	1.0	0.5	0.5	0.5	0.5	-401.5623196480529	1.0	0.5	0.5	90.0	0	0.6931471805599453	2.55	1.0
10000	-10812.036617682375	-10715.928298983394	-96.10831869898136	-10715.928298983394	21.12070050433042	1.0	0.6508357933599652	0.5774396362026296	0.5112596308181389	0.4887403691818612	-94.18140725991981	0.03590873750680938	0.5523137738659728	0.13791143968200292	53.721623871774746	0	0.6931471805599453	2.4606091422592717	0.0039765600995586205
20000	-10729.188465985142	-10617.13060395108	-112.05786203406232	-10617.13060395108	37.28048539530129	1.0	0.9950070663715214	0.7005964642669524	0.5302626476427467	0.4697373523572533	-109.93497316669944	0.015653561049746714	0.8288633889783064	0.03845361048469652	94.18278650627845	0	0.6931471805599453	2.353881827933481	0.002421588343715535
30000	-10699.746891862616	-10615.665207726996	-84.08168413562097	-10615.665207726996	13.212993593427045	1.0	0.9503398304156706	0.49783345876626806	0.5314930314645485	0.4685069685354514	-82.30365470873747	0.031894481977719324	0.6806574471907915	0.11218677584877741	19.1851506688144	0	0.6931471805599453	2.318034758136896	0.006757303639464303
40000	-10555.703067466655	-10467.114707440749	-88.58836002590606	-10467.114707440749	17.4793148485196	1.0	0.9995172130239024	0.2883920863342666	0.5598692071215765	0.44013079287842344	-87.34992214028188	0.06857177499692592	0.3727137116913706	0.3144560180465563	20.858215378592174	0	0.6931471805599453	2.571283685629818	0.005319496770816758
50000	-10469.522918528794	-10379.13117904134	-90.39173948745307	-10379.13117904134	17.997138854315462	1.0	0.9758866025308031	0.12575987514937326	0.5775134669902612	0.4224865330097389	-89.95801412071381	0.06841617124861676	0.5729885817639324	0.1765801791053682	27.92745861650878	0	0.6931471805599453	2.3570072451958204	0.005128650752146281
60000	-10429.030236606135	-10346.407212606566	-82.62302399956882	-10346.407212606566	14.716161299220357	1.0	0.9758866025308031	0.0710290620074403	0.5871679003458081	0.41283209965419193	-82.73749267178705	0.046523296679717434	0.6088638311309932	0.22078685033950668	17.78824161172179	0	0.6931471805599453	2.4649809379986474	0.006487721918587446
70000	-10303.081507454062	-10218.203622166095	-84.87788528796828	-10218.203622166095	14.47090344129951	1.0	0.8850983751151962	0.09214892999375673	0.6121370299731971	0.38786297002680303	-84.74294086600665	0.05029300018146225	0.6808811347397451	0.2475633378785948	18.152603636270992	0	0.6931471805599453	2.3744695369739586	0.006328123104024509
80000	-10178.571267995332	-10092.505780483003	-86.06548751232823	-10092.505780483003	14.915143703379147	1.0	0.9551027137350752	0.17736898411161348	0.6374212630340359	0.36257873696596427	-85.29993624605174	0.04885380915631247	0.6888837249131751	0.17377402444211368	32.1950083781646	0	0.6931471805599453	2.582201748526023	0.006559646404137799
90000	-10081.02535603356	-9974.288033242448	-106.73732279111147	-9974.288033242448	36.576360778361135	1.0	0.9551027137350752	0.21834425805383925	0.6627378735730414	0.33726212642695885	-105.77022527172463	0.02493864574134858	0.4812622377382398	0.35547472025887755	52.26686247432875	0	0.6931471805599453	2.642167098322502	0.0029373544070298192
100000	-9851.870825879641	-9765.895758051282	-85.97506782836065	-9765.895758051282	16.427734025046497	1.0	0.9551027137350752	0.02809917810381038	0.7091513312673116	0.29084866873268855	-86.97481083985146	0.040767832677774174	0.5241238904171757	0.11926760257005688	19.580587957339713	0	0.6931471805599453	2.5260520104532738	0.006163648990493605
110000	-9783.90312657703	-9699.62757804941	-84.27554852761845	-9699.62757804941	14.780016709096273	1.0	0.8954143739463357	0.022743618930369015	0.7241705623225622	0.27582943767743795	-85.47671001711471	0.07336411138182983	0.46198529756701634	0.15830511677078396	45.306621841998975	0	0.6931471805599453	2.3501388099165412	0.007136588869766227
120000	-9615.334518578655	-9533.935653340934	-81.3988652377204	-9533.935653340934	14.166446093925284	1.0	0.9833294134316162	0.021994845135854042	0.7607473525786349	0.23925264742136518	-82.63190428489685	0.04144585893197436	0.5767758644832294	0.20312920672767532	37.60167058465916	0	0.6931471805599453	2.387487080610654	0.007981179200436457
130000	-9470.811454266915	-9390.907158330228	-79.90429593668635	-9390.907158330228	13.836659826043286	1.0	0.9917975695675498	0.007677488703480573	0.7933301196745217	0.20666988032547828	-82.13865655085331	0.025887934705291545	0.8765534636945471	0.12992117261095656	14.179250005626104	0	0.6931471805599453	2.742618876818386	0.007978085887536146
140000	-9385.458063731889	-9302.238612614727	-83.2194511171617	-9302.238612614727	16.657515398837294	1.0	0.9426614577392172	0.03419206601289199	0.8107748774069121	0.18922512259308785	-84.03214420268529	0.023683238676852836	0.8653110514593731	0.07314895723865071	28.64695546980208	0	0.6931471805599453	2.6066832274569016	0.006928737059687804
150000	-9099.893003790476	-9015.918050042654	-83.97495374782126	-9015.918050042654	14.753885227517493	1.0	0.9138402609224512	0.17896983546819792	0.87094313224044	0.1290568677595602	-83.20070659319838	0.16573559876407412	0.3198325243029895	0.19441692256204454	18.598106993030864	0	0.6931471805599453	2.723738603825386	0.007704840476481343
160000	-8923.86800868351	-8835.719885292188	-88.14812339132172	-8835.719885292188	18.20106691373184	1.0	0.571396878796373	0.7875974696310314	0.9054208761035959	0.09457912389640433	-85.90533210694937	0.025377291355915297	0.7387888902144799	0.15172129732545486	24.778334948554328	0	0.6931471805599453	2.5473112584191866	0.005545927846261655
