#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution conditionOnRhoSampling="true" id="FBD.t:tree" spec="beast.evolution.speciation.SABirthDeathModel">
#            <parameter id="originFBD.t:tree" lower="0.0" name="origin" upper="100.0">90.0</parameter>
#            <parameter id="diversificationRateFBD.t:tree" lower="0.0" name="diversificationRate">1.0</parameter>
#            <parameter id="turnoverFBD.t:tree" lower="0.0" name="turnover" upper="1.0">0.5</parameter>
#            <parameter id="samplingProportionFBD.t:tree" lower="0.0" name="samplingProportion" upper="1.0">0.5</parameter>
#            <parameter id="rFBD.t:tree" lower="0.0" name="removalProbability" upper="1.0">0.0</parameter>
#            <parameter estimate="false" id="rhoFBD.t:tree" lower="0.0" name="rho" upper="1.0">1.0</parameter>
#            <tree id="Tree.t:tree">
#                <trait id="dateTrait.t:tree" spec="beast.evolution.tree.TraitSet" traitname="date-backward">
#                BodicTshangla=0,
#BurmishOldBurmese=0.8,
#BurmishRangoon=0,
#ChepangChepang=0,
#ChinHakha=0,
#JingphoJingpho=0,
#Karbi=0,
#KhroskyabsWobzi=0,
#KirantiKhaling=0,
#LoloishLisu=0,
#NungicDulong=0,
#Rabha=0,
#SiniticGuangzhou=0,
#SiniticOldChinese=2.55,
#Tangut=0.9,
#TaniBokar=0,
#TibetanBatang=0,
#TibetanOldTibetan=1.2,
#TibetoKinauriBunan=0                
#                                <taxa id="TaxonSet.small" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.small"/>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:small" name="distribution">
#            <parameter id="bcov_alpha.s:small" lower="1.0E-4" name="x" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:small" name="distribution">
#            <parameter id="bcov_s.s:small" lower="1.0E-4" name="x" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="diversificationRatePriorFBD.t:tree" name="distribution" x="@diversificationRateFBD.t:tree">
#            <Uniform id="Uniform.6" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="originPriorFBD.t:tree" name="distribution" x="@originFBD.t:tree">
#            <Uniform id="Uniform.5" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="samplingProportionPriorFBD.t:tree" name="distribution" x="@samplingProportionFBD.t:tree">
#            <Uniform id="Uniform.8" name="distr"/>
#        </prior>
#        <prior id="turnoverPriorFBD.t:tree" name="distribution" x="@turnoverFBD.t:tree">
#            <Uniform id="Uniform.7" name="distr"/>
#        </prior>
#        <distribution id="OldChinese.prior" spec="beast.math.distributions.MRCAPrior" tipsonly="true" tree="@Tree.t:tree">
#            <taxonset id="OldChinese" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="SiniticOldChinese" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.10" lower="2.3" name="distr" upper="2.8"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.small" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@small" excludeto="1" filter="-" id="orgdata.small" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:small" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:small" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:small" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:small" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:small" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:small">
#                    <parameter dimension="2" id="frequencies.s:small" lower="0.0" name="vfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:small" lower="0.0" name="hfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@small" estimate="false" id="dummyfrequencies.s:small" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.small	TreeHeight.t:tree	mutationRate.s:small	bcov_alpha.s:small	bcov_s.s:small	frequencies.s:small1	frequencies.s:small2	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(OldChinese.prior))	height(SiniticOldChinese)	clockRate.c:clock
170000	-8896.759750185174	-8826.306766157484	-70.45298402768967	-8826.306766157484	9.820548053780776	1.0	0.6733183937451426	0.5046424175301413	0.908650413150605	0.09134958684939519	-68.66136843617986	0.11638576048131126	0.5931222473285271	0.15225755370715677	18.207113809565453	0	0.6931471805599453	2.6984882453842904	0.011027154314863277
180000	-8879.298921873105	-8801.073676550046	-78.22524532305877	-8801.073676550046	13.035687774970548	1.0	0.605953103990347	0.07058390878156155	0.9138413420552987	0.08615865794470158	-78.34573108437095	0.0824171225517238	0.533678754061551	0.06960513506408725	14.65908157371623	0	0.6931471805599453	2.6889941261836166	0.00751230065246628
190000	-8521.574300188011	-8467.877122092248	-53.697178095762354	-8467.877122092248	8.29784061259478	1.0	0.3121323147529633	0.053849188146430554	0.9752732429858184	0.024726757014181863	-54.076421455918464	0.07846624257932068	0.631489425888793	0.2410616055915891	11.101311377922075	3	0.6931471805599453	2.33796195405142	0.008745831390357481
200000	-8496.857804999807	-8444.380499329967	-52.47730566983985	-8444.380499329967	6.626542620931087	1.0	0.26889156055244684	0.07624754525459025	0.9793519282489588	0.020648071751041473	-52.5239011946984	0.17737929267315505	0.1543826095606979	0.6038912126728027	7.670754733857621	2	0.6931471805599453	2.33796195405142	0.008942664692553148
210000	-8482.510678222869	-8426.023010835306	-56.4876673875617	-8426.023010835306	9.319075636469954	1.0	0.16879906334430939	0.12147677324125011	0.9827183668971483	0.017281633102851947	-56.08728902625025	0.13792236779271708	0.2854526501792554	0.13054921183778737	12.307570593685687	3	0.6931471805599453	2.3382881259212636	0.007311393127761336
220000	-8477.361547267858	-8422.845857276912	-54.51568999094612	-8422.845857276912	8.87320500520382	1.0	0.16403090940013923	0.20166532272787535	0.9827183668971483	0.017281633102851947	-53.62575066864271	0.19055848175966666	0.21455301640089758	0.6258835651738761	13.423507387127191	3	0.6931471805599453	2.5212384968727353	0.007353843419440127
230000	-8484.596399401065	-8428.729539503942	-55.86685989712348	-8428.729539503942	9.467754029280105	1.0	0.11439874947783489	0.20166532272787535	0.982887280808959	0.017112719191041258	-54.97692057482007	0.07393770695801077	0.5826213099081919	0.27368792320874735	15.332291715430259	3	0.6931471805599453	2.430311969486227	0.007391776903088535
240000	-8465.806675036578	-8413.958242647142	-51.84843238943621	-8413.958242647142	7.64126988923694	1.0	0.12766763505854725	0.20134498695187286	0.985335831727032	0.01466416827296832	-50.960035330319826	0.1688404743803341	0.25446034275079654	0.5629692800959325	9.076538472749471	3	0.6931471805599453	2.430311969486227	0.006217041582577653
250000	-8462.724995052786	-8407.250627412206	-55.47436764058013	-8407.250627412206	9.77331676627565	1.0	0.10871742963048478	0.22731943513896555	0.985335831727032	0.01466416827296832	-54.468103516981344	0.18443954313866387	0.10909756213632381	0.695795819145821	10.432073369065323	3	0.6931471805599453	2.701338863875679	0.005972219464537324
260000	-8459.262215531955	-8401.577304789054	-57.68491074290069	-8401.577304789054	9.793963131183697	1.0	0.09131400090384048	0.17747941617993315	0.9878245167021363	0.012175483297863932	-56.918757136017106	0.06251976421554502	0.38439346599108476	0.3883048392811609	17.583656097724944	3	0.6931471805599453	2.6084904925946355	0.00521623783495919
270000	-8457.383109362314	-8404.230355674103	-53.152753688211085	-8404.230355674103	7.933727590834363	1.0	0.09857888140142149	0.212543337454971	0.9887133637103733	0.011286636289626959	-52.21181698124802	0.13151471959064254	0.1386301547531542	0.5949857465753944	8.54140263165346	3	0.6931471805599453	2.70683537137215	0.005347736994668648
280000	-8460.84525035896	-8407.481258365171	-53.36399199378929	-8407.481258365171	8.305138130874248	1.0	0.14601366173046565	0.212543337454971	0.9887133637103733	0.011286636289626959	-52.42305528682623	0.0836284280145464	0.5299589925020474	0.40769236366701106	8.351394173627918	3	0.6931471805599453	2.4996070370041257	0.004834828343820351
290000	-8458.694710544121	-8405.111425345862	-53.58328519826041	-8405.111425345862	8.176412542406597	1.0	0.13056948807958302	0.1667764640062148	0.9887133637103733	0.011286636289626959	-52.877292133707336	0.17476947052484956	0.28546001738782656	0.267617309324604	15.867815316711438	3	0.6931471805599453	2.4569516614720106	0.005463365914900923
300000	-8452.82977441642	-8399.092642792739	-53.73713162368033	-8399.092642792739	7.865010844853115	1.0	0.1103876876470868	0.22483583258735262	0.9894054370481125	0.010594562951887786	-52.741552302512865	0.15928101318470725	0.2866692101735861	0.5419521441453705	9.81022812462524	3	0.6931471805599453	2.415531011179229	0.004497764620721657
310000	-8453.275580811905	-8398.545153960282	-54.73042685162336	-8398.545153960282	8.397551528972471	1.0	0.1278891285688203	0.18199541786868778	0.99102357271257	0.008976427287430264	-53.939951115024556	0.0917892353540287	0.1999939087409964	0.504423127175691	9.017092226305966	3	0.6931471805599453	2.573264716590798	0.004201057808956609
320000	-8457.486236451852	-8403.382724034152	-54.103512417699456	-8403.382724034152	8.359765262186876	1.0	0.15134590629809316	0.18199541786868778	0.99102357271257	0.008976427287430264	-53.31303668110065	0.1230668369322462	0.27732966041899715	0.5841199258309979	17.369055553389735	3	0.6931471805599453	2.442798639458451	0.0038667673131889866
330000	-8463.208078067946	-8412.864138415778	-50.3439396521687	-8412.864138415778	7.764432414232711	1.0	0.13509899828772584	0.18199541786868778	0.99102357271257	0.008976427287430264	-49.55346391556989	0.1238492572129947	0.4326034574941222	0.3544186491656123	8.802012319590236	3	0.6931471805599453	2.6488784765991364	0.0047310392869847695
340000	-8453.828472412504	-8399.433600666742	-54.3948717457623	-8399.433600666742	9.10720461826121	1.0	0.1489864635755932	0.17146791154555213	0.99102357271257	0.008976427287430264	-53.66205485731067	0.18719969294902397	0.3029354813453552	0.2691188377410596	9.370659296558097	3	0.6931471805599453	2.3238478595053316	0.0036060512737671946
350000	-8457.532221315287	-8406.125399743783	-51.40682157150411	-8406.125399743783	8.269926622616808	1.0	0.12878918111336557	0.13178285369298376	0.99102357271257	0.008976427287430264	-50.92805178180873	0.16348375979695584	0.2539500580879818	0.28040171430539657	11.319141110476595	3	0.6931471805599453	2.3238478595053316	0.004633137326389986
360000	-8456.892125204491	-8402.144106635107	-54.74801856938337	-8402.144106635107	8.088848651562374	1.0	0.1271861268617638	0.17497254392083386	0.9913763355733572	0.008623664426643071	-53.99562993863577	0.06803979877320122	0.6770430673186011	0.10306795359876711	8.177716635034392	3	0.6931471805599453	2.311852196438176	0.003855917419175749
370000	-8455.004987481945	-8403.18923412574	-51.81575335620517	-8403.18923412574	7.38175858840779	1.0	0.1292697612214809	0.17497254392083386	0.9907749081746228	0.00922509182537752	-51.063364725457575	0.2691454613114565	0.13518843819607365	0.4834024208281158	10.331134509805668	3	0.6931471805599453	2.702189812593966	0.004647828061474097
380000	-8458.205552741118	-8400.840218775482	-57.36533396563518	-8400.840218775482	8.335124785819373	1.0	0.11109878964824654	0.17497254392083386	0.9907749081746228	0.00922509182537752	-56.612945334887584	0.1447909656055361	0.14547475708315422	0.40340067951935227	27.38803826362119	3	0.6931471805599453	2.346853981104828	0.0040008737310004965
390000	-8460.527210282888	-8405.048652917418	-55.47855736546935	-8405.048652917418	9.059581852147536	1.0	0.14711651033765605	0.11750838827473453	0.9907749081746228	0.00922509182537752	-55.110128531955525	0.1944557675797424	0.18957484158275467	0.30954283785576175	14.396888451388444	3	0.6931471805599453	2.372057394751102	0.004002836635801028
400000	-8455.659123295842	-8402.090844855735	-53.56827844010673	-8402.090844855735	8.7420092155539	1.0	0.194400971158174	0.128521924081286	0.9907749081746228	0.00922509182537752	-53.113637957649495	0.14782518272409448	0.23394519658106247	0.3449311381049226	10.352298787429193	3	0.6931471805599453	2.372057394751102	0.003566121773182294
410000	-8456.33050862145	-8404.936612411711	-51.393896209737285	-8404.936612411711	8.451196260251466	1.0	0.1705826866949658	0.14425105303638103	0.9907749081746228	0.00922509182537752	-50.82799989915675	0.17446674416085894	0.16099870049177092	0.6271906094710175	9.716771343816601	3	0.6931471805599453	2.332844685709361	0.004137590462323713
420000	-8458.292844930073	-8406.042579827386	-52.2502651026866	-8406.042579827386	8.532633606884907	1.0	0.1705826866949658	0.16690662012356888	0.9902116866523488	0.009788313347651454	-51.543517910229085	0.1532791995913781	0.19879111376376427	0.42357939611263806	9.466652195505386	3	0.6931471805599453	2.332844685709361	0.0045363771626794605
430000	-8458.353349730476	-8402.69543856648	-55.65791116399588	-8402.69543856648	8.708321156607065	1.0	0.14670911013914834	0.18521785192079254	0.9902116866523488	0.009788313347651454	-54.85043954397924	0.10840146527896202	0.17358299378509554	0.6302589619893452	15.9387812634542	3	0.6931471805599453	2.682388789597773	0.0040950474153805955
440000	-8457.00673062586	-8404.40017946929	-52.60655115657086	-8404.40017946929	7.918099059682402	1.0	0.13544491071932985	0.18521785192079254	0.9902116866523488	0.009788313347651454	-51.799079536554224	0.19990207858915776	0.114961305505065	0.6904721543966517	10.105637274895056	3	0.6931471805599453	2.3599715132047887	0.004267404120111195
450000	-8469.043810783618	-8415.775514456702	-53.26829632691632	-8415.775514456702	8.725409937304716	1.0	0.18888644274558247	0.12569383425851316	0.9887294525925081	0.011270547407492207	-52.8350765733912	0.15329305168700058	0.3264709072422107	0.4503882267093414	10.043544881463575	3	0.6931471805599453	2.3870646332345684	0.004723849681262154
460000	-8466.723752269061	-8410.296609191373	-56.42714307768742	-8410.296609191373	7.834780024602606	1.0	0.1745807275292207	0.12569383425851316	0.9887294525925081	0.011270547407492207	-55.993923324162296	0.07731241675795801	0.1454523048747985	0.6916270726191711	21.66150126485333	3	0.6931471805599453	2.580944800096606	0.004675370497199809
470000	-8453.892113732261	-8399.390738227394	-54.501375504867624	-8399.390738227394	7.8511383467967	1.0	0.15074433971981466	0.15008529832699752	0.9900183826779425	0.009981617322057757	-53.89722961633949	0.10045522237284711	0.17250060998305533	0.7414647242810743	13.059859224189257	3	0.6931471805599453	2.4417490457424247	0.004393728390459071
480000	-8453.747539214823	-8400.917279570283	-52.83025964454008	-8400.917279570283	8.389499206123977	1.0	0.19573703547102492	0.15746717830562484	0.9900183826779425	0.009981617322057757	-52.1797629740042	0.2071519594312812	0.33643116402639334	0.2289880904309767	10.801292308521939	3	0.6931471805599453	2.7377191682965933	0.004583826000358015
490000	-8453.497042135094	-8401.682237938654	-51.81480419643896	-8401.682237938654	7.466889940607565	1.0	0.1583137824330248	0.15134676789715443	0.9900183826779425	0.009981617322057757	-51.20258076346118	0.17624187996115412	0.3395811445361454	0.1989593626528868	8.103777073153003	3	0.6931471805599453	2.3660747327998672	0.004420389446176533
500000	-8468.59387417928	-8412.103655944444	-56.49021823483612	-8412.103655944444	7.456858492389064	1.0	0.1569032022007726	0.1593016132424552	0.9900183826779425	0.009981617322057757	-55.82853493666421	0.06233353945144078	0.3160071598752029	0.5443230415151333	17.47932314807268	3	0.6931471805599453	2.336390089991599	0.004455991670510806
510000	-8456.298379928296	-8405.615778182528	-50.68260174576849	-8405.615778182528	6.8105516827775645	1.0	0.16923857578658752	0.17184230602653774	0.9900183826779425	0.009981617322057757	-49.94767538575476	0.19623667691218522	0.15344335652281563	0.6002003072471667	10.701276592300124	3	0.6931471805599453	2.336390089991599	0.0047026093355500165
520000	-8452.292091590927	-8398.739846090117	-53.55224550081041	-8398.739846090117	8.383576536994207	1.0	0.14996883870089547	0.13985363937765535	0.9900183826779425	0.009981617322057757	-53.0161997561552	0.17087070687403827	0.14471676229067235	0.5352535522174836	13.902801226395404	3	0.6931471805599453	2.3585134017845526	0.004286303836124609
