Number	Segment	BIPA	Frequency	Example	Languages
211	ʊː	ʊː	3	Hayu	m ʊː l i
212	mˤ	mˤ	3	Old_Chinese	mˤ r a j ʔ
213	qˤ	qˤ	3	Old_Chinese	qˤ o k
214	jaa		3	Tangut	m jaa
215	⁴⁴	⁴⁴	3	Longgang	l ɔ ⁴⁴ s ɔ ⁵⁵
216	u:	uː	3	Limbu	n u: r ◦
217	ndʑ	ndʑ	3	Tibetan_Xiahe	ndʑ o
218	ju.		3	Tangut	lh ju.
219	ʈh	ʈh	3	Rongpo	aː ʈh
220	ŋˤ	ŋˤ	3	Old_Chinese	C/ + ŋˤ a ʔ
221	òo	òo	3	Hakha_Chin	t òo y + t ǒo y
222	n̺	n̺	3	Byangsi	n̺ j aː
223	mh/m̥	m̥	3	Chepang	tʃ j a mh/m̥
224	oɔ̄	oɔ̄	3	Khaling	gʰ oɔ̄ l p ɛ
225	ɯː	ɯː	3	Bokar	k ɯː
226	mh	mh	3	Rongpo	mh i n
227	thl		3	Hakha_Chin	thl ǎa
228	ⁿdz	ⁿdz	3	Japhug	ⁿdz a
229	ɶ	ɶ	3	Guangzhou	k ɶ k ³
230	ǐ	ǐ	3	Hakha_Chin	d ì ŋ + d ǐ n
231	ja.		3	Tangut	w ja.
232	ǐi	ǐi	3	Hakha_Chin	hn ǐi m + hn i m ʔ
233	a:	aː	3	Kulung	h a l a l a: p a
234	tʰˤ	tʰˤ	3	Old_Chinese	tʰˤ u j
235	ɔ̰̃	ɔ̰̃	3	Bola	m j ɔ̰̃ ∼ ⁵⁵
236	dzʱ	dzʱ	4	Bantawa	m a dzʱ a n
237	ja		4	Tangut	ts ja
238	m̩	m̩	4	Darang_Taraon	ɑ ³¹ ◦ m̩ ⁵⁵
239	ǔu	ǔu	4	Hakha_Chin	hm ǔu + hm u ʔ
240	gˤ	gˤ	4	Old_Chinese	C/ ə + gˤ a n
241	a.		4	Tangut	b i a.
242	wə		4	Tangut	ɕ i wə
243	oo	oː	4	Hakha_Chin	hn oo t + hn o ʔ
244	c/tʃʰ	tʃʰ	4	Byangsi	p ə ʃ a k _ c/tʃʰ a m
245	ɐ/r	r	4	Beijing	tɕʰ i ɐ n ³⁵ p i ɐ/r n ⁰
246	ŋg	ŋg	4	Japhug	t ɤ ◦ ŋg ɯ m
247	ɨ́	ɨ́	4	Rabha	m ɨ́ n
248	ə̰ː	ə̰ː	4	Lashi	ʃ ə̰ː ŋ ³³
249	dzh		4	Khaling	dzh i t
250	ii	iː	4	Tangut	n j ii j ¹
251	ññ		4	Old_Burmese	ññ a c ◦ p a t
252	dʰ	dʰ	4	Khaling	dʰ o ŋ
253	ei	ei	4	Hakha_Chin	aw rh l ei
254	tsʰˤ	tsʰˤ	4	Old_Chinese	tsʰˤ u ʔ
