Number	Segment	BIPA	Frequency	Example	Languages
425	ɔ̰	ɔ̰	25	Maru	ŋ ɔ̰ ʔ ⁵⁵
426	²³	²³	27	Guangzhou	l a ŋ ²³
427	ɵ	ɵ	27	Khaling	p ɵ k
428	ʉ	ʉ	27	Khaling	n ʉ s
429	ã	ã	27	Rongpo	b ã s
430	û	û	28	Hakha_Chin	f û ŋ
431	ɑ̃	ɑ̃	29	Rangoon	p j ɑ̃ ∼ ²²
432	ɴ	ɴ	29	Old_Tibetan	ɴ pʰ r u g
433	ũ	ũ	30	Rongpo	s ũ ŋ ə r
434	ṵ	ṵ	30	Atsi	m ṵ t ⁵⁵ + m a u ⁵⁵
435	ɲ	ɲ	31	Bunan	ɲ a
436	C/		31	Old_Chinese	C/ + n a n
437	²⁴	²⁴	32	Xingning	ŋ a i ²⁴
438	ʑ	ʑ	32	Achang_Longchuan	ʑ ɔ ŋ ³¹
439	ā	ā	33	Mikir	a r j ā ng
440	³²	³²	33	Longgang	ts a u ³²
441	oː	oː	33	Tibetan_Lhasa	l oː ⁵⁵
442	á	á	35	Rabha	tʃ á + kʰ a + tʰ o ŋ
443	n̥	n̥	35	Zhaba_Daofu_County	n̥ ɛ ¹³
444	sʰ	sʰ	36	Tibetan_Xiahe	sʰ o _ m a
445	³	³	37	Guangzhou	p a t ³
446	¹¹	¹¹	37	Chaozhou	t u a ¹¹
447	tʃʰ	tʃʰ	37	Rongpo	m a tʃʰ a
448	ø	ø	38	Bola	kʰ ø ʔ ³¹
449	ɔ̃	ɔ̃	38	Rongpo	b aː ŋ ɔ̃
450	tɕh		41	Motuo_Menba	tɕh i ŋ _ p a
451	uː	uː	41	Byangsi	n uː d ɛ
452	ə̂	ə̂	42	Wobzi_Khroskyabs	ʁ m ə̂
453	⁵²	⁵²	43	Tibetan_Lhasa	j u ⁵²
454	⁴⁵	⁴⁵	43	Xingning	m a n ⁴⁵
455	â	â	45	Hakha_Chin	th â r + th ǎ r
456	⁰	⁰	45	Beijing	ts ɑ o ²¹⁴₂₁ tɕʰ i ⁰
457	¹	¹	47	Limbu	p u ¹
458	dz	dz	48	Bunan	dz a ŋ i
459	χ	χ	48	Tibetan_Xiahe	th a χ _ ȵ i
460	²¹⁴	²¹⁴	50	Beijing	w ɔ ²¹⁴
461	iː	iː	55	Bunan	ɕ iː
462	æ	æ	55	Tibetan_Alike	r ə _ p æ
463	⁴	⁴	55	Rangoon	l ɛ ʔ ⁴
464	ʁ	ʁ	55	Japhug	ɲ a ʁ
465	ɪ	ɪ	61	Tibetan_Batang	ʐ ɪ ²³¹
466	ɿ	ɿ	62	Xiandao	ʂ ɿ ⁵⁵
467	ɨ	ɨ	62	Byangsi	m ɨ n j/dʒ e
468	ch	ch	64	Hakha_Chin	ch u i h
469	ĩ	ĩ	66	Tibetan_Lhasa	ts ĩ ∼ ¹³
470	ḥ		67	Old_Burmese	th ū ḥ
471	ᴜ		67	Tibetan_Batang	ʐ ᴜ ¹³ ◦ p a ⁵³
472	a̰	a̰	67	Bola	ŋ a̰ ʔ ⁵⁵
473	ng	ng	71	Hakha_Chin	l e ng a h
474	ă	ă	72	Jingpho	l ă ⁵⁵ ◦ t i ⁵¹
475	f	f	73	Hakha_Chin	f a p a
476	ʊ	ʊ	74	Guangzhou	t ʊ ŋ ³³
477	tʂ	ʈʂ	76	Zhaba_Daofu_County	tʂ u ⁵⁵
478	ɤ	ɤ	76	Japhug	t ɤ ◦ s e
479	ʐ	ʐ	82	Tibetan_Batang	ʐ ᴜ ¹³ ◦ p a ⁵³
480	tɕʰ	tɕʰ	82	Bunan	tɕʰ e j
481	dʑ	dʑ	86	Old_Tibetan	m dʑ i ŋ + p a +
482	⁵	⁵	86	Chaozhou	l e k ⁵
483	ph	pʰ	88	Jingpho	k ă ³¹ ◦ ph a ʔ ³¹
484	ʌ	ʌ	89	Khaling	tsʰ ʌ k p ɛ
485	c	c	92	Tibetan_Lhasa	t a ¹³ _ c a ¹³²
486	²²	²²	94	Rangoon	p j ɑ̃ ∼ ²²
487	ʂ	ʂ	101	Xiandao	ʂ a ³¹
488	⁵¹	⁵¹	104	Jingpho	l ă ⁵⁵ ◦ t i ⁵¹
489	aː	aː	105	Byangsi	g u n d aː
490	²	²	105	Tangut	n e r ²
491	ɹ	ɹ	110	Darang_Taraon	t i ɯ ŋ ⁵⁵ ◦ k ɹ ɑ i ⁵⁵
492	z	z	111	Hakha_Chin	z ùu
493	ɣ	ɣ	115	Daofu	ɣ n ə
494	ȵ	ȵ	115	Tibetan_Xiahe	h ȵ ə _ l a m
495	x	x	116	Japhug	t ɯ ◦ x t u
496	y	y	120	Hakha_Chin	n àa y + n ǎa y
497	th	tʰ	125	Hakha_Chin	th â r + th ǎ r
498	tʃ	tʃ	127	Jingpho	tʃ u̱ ʔ ⁵⁵ ◦ k ă ³¹ ◦ p a ŋ ³³
499	kh	kʰ	131	Hakha_Chin	p a kh a t
500	tɕ	tɕ	137	Bokar	n ə + tɕ e
501	ɐ	ɐ	139	Daofu	q a + r v ɐ
502	tsʰ	tsʰ	144	Bunan	tsʰ a
503	ʃ	ʃ	146	Jingpho	ʃ u ʔ ³¹
504	v	v	148	Hakha_Chin	v o k
505	pʰ	pʰ	179	Motuo_Menba	pʰ o m
506	ɕ	ɕ	186	Old_Tibetan	ɕ i ŋ + s d o ŋ
507	¹³	¹³	196	Tibetan_Lhasa	t a ¹³ _ c a ¹³²
508	tʰ	tʰ	240	Old_Tibetan	m tʰ o
509	∼	∼	247	Tibetan_Lhasa	ts ĩ ∼ ¹³
510	²¹	²¹	256	Atsi	ʃ ŏ ²¹ + p i k ²¹
511	kʰ	kʰ	322	Old_Tibetan	kʰ a + b a
512	h	h	327	Tibetan_Xiahe	h ȵ ə _ l a m
513	ɯ	ɯ	343	Darang_Taraon	t i ɯ ŋ ⁵⁵ ◦ k ɹ ɑ i ⁵⁵
514	w	w	351	Jingpho	w a ³³
515	ts	ts	356	Hakha_Chin	ts ı̀i
516	g	g	358	Old_Tibetan	s g o r + m o
517	³⁵	³⁵	363	Lisu	k ɑ ³⁵
518	ɔ	ɔ	384	Dulong	m i ⁵⁵ + tɕ ɔ ʔ ⁵⁵
519	ɛ	ɛ	393	Xiandao	m ɛ t ⁵⁵
520	d	d	400	Hakha_Chin	d i r
521	⁵³	⁵³	454	Tibetan_Batang	d ɑ ʔ ⁵³
522	b	b	483	Motuo_Menba	b e _ ts a
523	³³	³³	537	Jingpho	p o ³³
524	_	_	583	Tibetan_Xiahe	h ȵ ə _ l a m
525	ʔ	ʔ	732	Jingpho	m j i ʔ ³¹
526	ə	ə	747	Bokar	n ə + tɕ e
527	ɑ	ɑ	780	Tibetan_Batang	d ɑ ʔ ⁵³
528	e	e	857	Bokar	n ə + tɕ e
529	j	j	904	Jingpho	m j i ʔ ³¹
530	³¹	³¹	912	Jingpho	m j i ʔ ³¹
531	◦	+	913	Jingpho	k ɑ̱̆ ⁵⁵ ◦ ʒ a ⁵⁵
532	p	p	1035	Jingpho	p o ³³
533	s	s	1066	Jingpho	s a i ³¹
534	r	r	1088	Hakha_Chin	th â r + th ǎ r
535	l	l	1121	Jingpho	l ă ⁵⁵ ◦ t i ⁵¹
536	t	t	1215	Hakha_Chin	t à m + t ǎ m +
537	n	n	1335	Jingpho	n a ³³
538	o	o	1347	Jingpho	p o ³³
539	+	+	1543	Hakha_Chin	t à m + t ǎ m +
540	ŋ	ŋ	1574	Hakha_Chin	tl âa ŋ
541	u	u	1689	Jingpho	n ³¹ ◦ k u p ³¹
542	k	k	1749	Jingpho	k ɑ̱̆ ⁵⁵ ◦ ʒ a ⁵⁵
543	m	m	1816	Hakha_Chin	t à m + t ǎ m +
544	⁵⁵	⁵⁵	1882	Jingpho	k ɑ̱̆ ⁵⁵ ◦ ʒ a ⁵⁵
545	i	i	2246	Jingpho	m j i ʔ ³¹
546	a	a	3187	Jingpho	k ɑ̱̆ ⁵⁵ ◦ ʒ a ⁵⁵
